coordinator_1  | 2024-02-27 10:25:19,089.089 WARNING:   Worker: 3 | Completed snapshot: 15 | started at: 1709029519066.7803 | ended at: 1709029519086.087 | took: 19.306640625ms
coordinator_1  | 2024-02-27 10:25:20,090.090 WARNING:   Worker: 3 | Completed snapshot: 16 | started at: 1709029520069.6814 | ended at: 1709029520088.6511 | took: 18.9697265625ms
coordinator_1  | 2024-02-27 10:25:20,090.090 WARNING:   Worker: 2 | Completed snapshot: 16 | started at: 1709029520069.651 | ended at: 1709029520088.721 | took: 19.070068359375ms
coordinator_1  | 2024-02-27 10:25:20,090.090 WARNING:   Worker: 1 | Completed snapshot: 16 | started at: 1709029520069.6843 | ended at: 1709029520088.6685 | took: 18.984130859375ms
coordinator_1  | 2024-02-27 10:25:20,091.091 WARNING:   Worker: 4 | Completed snapshot: 16 | started at: 1709029520069.67 | ended at: 1709029520089.0803 | took: 19.410400390625ms
coordinator_1  | 2024-02-27 10:25:21,100.100 WARNING:   Worker: 3 | Completed snapshot: 17 | started at: 1709029521077.584 | ended at: 1709029521098.4526 | took: 20.86865234375ms
coordinator_1  | 2024-02-27 10:25:21,100.100 WARNING:   Worker: 4 | Completed snapshot: 17 | started at: 1709029521077.547 | ended at: 1709029521098.0686 | took: 20.521484375ms
coordinator_1  | 2024-02-27 10:25:21,100.100 WARNING:   Worker: 2 | Completed snapshot: 17 | started at: 1709029521077.4885 | ended at: 1709029521098.0896 | took: 20.60107421875ms
coordinator_1  | 2024-02-27 10:25:21,101.101 WARNING:   Worker: 1 | Completed snapshot: 17 | started at: 1709029521077.6184 | ended at: 1709029521098.4912 | took: 20.872802734375ms
coordinator_1  | 2024-02-27 10:25:22,100.100 WARNING:   Worker: 2 | Completed snapshot: 18 | started at: 1709029522078.7478 | ended at: 1709029522098.6328 | took: 19.885009765625ms
coordinator_1  | 2024-02-27 10:25:22,101.101 WARNING:   Worker: 4 | Completed snapshot: 18 | started at: 1709029522078.673 | ended at: 1709029522099.2993 | took: 20.626220703125ms
coordinator_1  | 2024-02-27 10:25:22,101.101 WARNING:   Worker: 1 | Completed snapshot: 18 | started at: 1709029522078.5933 | ended at: 1709029522099.5964 | took: 21.003173828125ms
coordinator_1  | 2024-02-27 10:25:22,101.101 WARNING:   Worker: 3 | Completed snapshot: 18 | started at: 1709029522078.769 | ended at: 1709029522099.708 | took: 20.93896484375ms
coordinator_1  | 2024-02-27 10:25:23,106.106 WARNING:   Worker: 1 | Completed snapshot: 19 | started at: 1709029523080.2 | ended at: 1709029523104.3564 | took: 24.156494140625ms
coordinator_1  | 2024-02-27 10:25:23,106.106 WARNING:   Worker: 3 | Completed snapshot: 19 | started at: 1709029523080.2395 | ended at: 1709029523103.9397 | took: 23.7001953125ms
coordinator_1  | 2024-02-27 10:25:23,107.107 WARNING:   Worker: 4 | Completed snapshot: 19 | started at: 1709029523080.148 | ended at: 1709029523104.8018 | took: 24.65380859375ms
coordinator_1  | 2024-02-27 10:25:23,107.107 WARNING:   Worker: 2 | Completed snapshot: 19 | started at: 1709029523080.1912 | ended at: 1709029523104.4353 | took: 24.244140625ms
coordinator_1  | 2024-02-27 10:25:24,108.108 WARNING:   Worker: 4 | Completed snapshot: 20 | started at: 1709029524086.0637 | ended at: 1709029524106.3835 | took: 20.31982421875ms
